X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.78E+03,4.76E+03,1.17E+03,nan,nan,1.56E+00,9.00E+00,8.00E+00,1.49E+02,1.97E+06,-2.30E+00
2.76E+03,4.78E+03,1.18E+03,nan,nan,1.50E+00,1.00E+01,1.00E+01,1.46E+03,4.03E+07,-1.30E+00
2.77E+03,4.74E+03,1.13E+03,nan,nan,1.21E+00,7.00E+00,7.00E+00,2.41E+01,4.49E+05,-2.60E+00
2.76E+03,4.77E+03,1.16E+03,nan,nan,1.72E+00,8.00E+00,7.00E+00,6.35E+02,5.44E+06,-2.00E+00
2.77E+03,4.73E+03,1.14E+03,nan,nan,1.99E+00,8.00E+00,7.00E+00,6.14E+01,1.95E+06,-2.20E+00
2.79E+03,4.75E+03,1.12E+03,nan,nan,3.00E+00,8.00E+00,7.00E+00,3.75E+02,2.21E+06,-2.30E+00
2.73E+03,4.74E+03,1.14E+03,nan,nan,1.08E+00,7.00E+00,5.00E+00,3.98E+01,1.13E+06,-2.30E+00
2.76E+03,4.73E+03,1.14E+03,nan,nan,1.19E+00,8.00E+00,8.00E+00,8.56E+01,7.76E+05,-2.60E+00
2.75E+03,4.73E+03,1.13E+03,nan,nan,1.62E+00,8.00E+00,8.00E+00,2.27E+02,2.98E+06,-2.10E+00
2.76E+03,4.77E+03,1.17E+03,nan,nan,1.77E+00,8.00E+00,8.00E+00,9.95E+02,1.10E+07,-1.80E+00
2.69E+03,4.74E+03,1.14E+03,nan,nan,1.54E+00,7.00E+00,6.00E+00,1.93E+03,5.08E+06,-2.20E+00
2.79E+03,4.78E+03,1.18E+03,nan,nan,8.30E-01,6.00E+00,6.00E+00,2.49E+01,6.44E+05,-2.50E+00
2.75E+03,4.90E+03,1.32E+03,nan,nan,1.89E+00,1.00E+01,1.00E+01,4.37E+04,3.32E+08,-8.00E-01
2.77E+03,4.74E+03,1.14E+03,nan,nan,1.73E+00,6.00E+00,6.00E+00,2.69E+01,3.01E+05,-2.80E+00
2.72E+03,4.75E+03,1.14E+03,nan,nan,1.51E+00,6.00E+00,6.00E+00,6.98E+00,3.80E+05,-2.60E+00
2.74E+03,4.78E+03,1.13E+03,nan,nan,2.22E+00,6.00E+00,6.00E+00,2.37E+03,3.49E+06,-2.40E+00
2.72E+03,4.74E+03,1.14E+03,nan,nan,1.30E+00,6.00E+00,6.00E+00,7.86E+01,6.35E+05,-2.60E+00
2.72E+03,4.75E+03,1.14E+03,nan,nan,1.39E+00,6.00E+00,6.00E+00,3.99E+00,5.15E+05,-2.40E+00
2.73E+03,4.74E+03,1.14E+03,nan,nan,2.04E+00,8.00E+00,8.00E+00,6.33E+01,1.35E+06,-2.30E+00
2.68E+03,4.72E+03,1.09E+03,nan,nan,2.34E+00,7.00E+00,7.00E+00,5.88E+02,5.13E+06,-2.00E+00
2.70E+03,4.74E+03,1.15E+03,nan,nan,2.10E+00,7.00E+00,6.00E+00,7.97E+03,1.03E+07,-2.10E+00
2.67E+03,4.71E+03,1.10E+03,nan,nan,1.06E+00,6.00E+00,6.00E+00,7.25E+02,3.12E+06,-2.30E+00
2.72E+03,4.73E+03,1.14E+03,nan,nan,2.21E+00,1.00E+01,1.00E+01,6.49E+02,3.35E+07,-1.30E+00
2.68E+03,4.71E+03,1.10E+03,nan,nan,2.42E+00,9.00E+00,8.00E+00,4.19E+02,8.54E+06,-1.80E+00
2.73E+03,4.75E+03,1.14E+03,nan,nan,7.70E-01,6.00E+00,5.00E+00,1.06E+02,7.23E+05,-2.60E+00
2.72E+03,4.74E+03,1.13E+03,nan,nan,1.70E+00,9.00E+00,8.00E+00,2.80E+01,2.28E+06,-2.00E+00
2.72E+03,4.75E+03,1.13E+03,nan,nan,1.12E+00,7.00E+00,6.00E+00,7.99E+02,3.40E+06,-2.20E+00
2.74E+03,4.74E+03,1.13E+03,nan,nan,5.90E-01,7.00E+00,5.00E+00,8.60E+00,4.27E+05,-2.50E+00
2.71E+03,4.72E+03,1.10E+03,nan,nan,2.14E+00,8.00E+00,8.00E+00,7.33E+02,3.33E+06,-2.20E+00
2.76E+03,4.77E+03,1.17E+03,nan,nan,1.82E+00,1.00E+01,1.00E+01,1.53E+03,1.69E+07,-1.70E+00
2.73E+03,4.74E+03,1.12E+03,nan,nan,1.96E+00,6.00E+00,6.00E+00,7.52E+01,1.11E+06,-2.40E+00
2.71E+03,4.72E+03,1.12E+03,nan,nan,2.06E+00,6.00E+00,6.00E+00,2.74E+03,1.23E+07,-1.90E+00
2.66E+03,4.74E+03,1.15E+03,nan,nan,3.04E+00,1.00E+01,8.00E+00,8.52E+03,3.32E+07,-1.60E+00
2.66E+03,4.73E+03,1.14E+03,nan,nan,1.28E+00,6.00E+00,5.00E+00,1.04E+04,1.57E+07,-1.90E+00
2.69E+03,4.71E+03,1.14E+03,nan,nan,3.06E+00,1.00E+01,9.00E+00,6.36E+02,2.38E+07,-1.40E+00
2.86E+03,4.73E+03,9.92E+02,nan,nan,1.46E+00,6.00E+00,5.00E+00,1.49E+03,4.30E+06,-2.20E+00
2.73E+03,4.73E+03,1.14E+03,nan,nan,1.81E+00,8.00E+00,8.00E+00,1.24E+02,2.65E+06,-2.10E+00
2.70E+03,4.72E+03,1.09E+03,nan,nan,4.08E+00,1.00E+01,1.00E+01,8.07E+03,1.04E+08,-1.10E+00
